Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews
Ben Gulabin,3.33,806.00,Eastern Highlands,Glenshee to Cairn o'Mount,Glen Shee,56.832658,-3.475889,79.9,2.02,There is space for a couple of cars to park carefully here without blocking the gateway.,None nearby,No,3.3-4.4 hrs,12:33,
Monamenach,2.77,807.00,Eastern Highlands,Glenshee to Cairn o'Mount,Angus Glens,56.820203,-3.351552,82.1,2.65,"There is no parking at Auchavan itself, so instead follow the rough track to the right, taking care to find a space on the grassy ground before the bridge over the river.",None nearby,No,3.3-4.5 hrs,11:11,
Creag Rainich,3.94,807.90,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Fisherfield,57.725679,-5.199031,204.0,4.58,From the parking area walk back along the road for 20 metres until you reach the track leading to Loch a Bhraoin; it is signed for long distance routes to Kinlochewe and Loch Fannich.,None nearby,No,3.3-4.5 hrs,07:20,
Hart Fell,3.46,808.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.408054,-3.401421,49.8,1.78,"Park near the start of a track just east of Blackshope Cottage, around 10km along the A708 from Moffat; there is space for several cars without impeding any entrances, or on the verge opposite.",None nearby,No,3.3-4.5 hrs,12:56,
"Garbh-bheinn, Skye",4.56,808.30,Western Highlands and Inner Hebrides,Inner Hebrides,"Strathaird and Red Cuillin, Skye",57.233132,-6.092495,217.4,4.79,Park in the large lay-by near the Eas a Bhradain waterfall on the A87(T) at the head of Loch Ainort.,None nearby,No,3.3-4.5 hrs,06:55,
Creag Mac Ranaich,3.79,808.60,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Glen Dochart to Loch Voil,56.399899,-4.358066,70.4,1.69,Park in the large car park on the A85 near the west end of Loch Earn in Lochearnhead.,None nearby,No,3.3-4.5 hrs,13:07,
"Sàil Gharbh, Quinag",4.22,809.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,Quinag,58.215166,-5.049904,239.4,5.18,There is a car parking area off the east side of the A894 at NC232273.,None nearby,No,3.3-4.5 hrs,06:08,
Sgùrr Innse,4.09,809.00,Central Highlands,Loch Linnhie to Loch Ericht,Easains and Innses,56.833318,-4.803988,131.7,3.1,There is parking on the left (where the road meets the line of an old tramway) at NN255788.,None nearby,No,3.3-4.5 hrs,10:18,
"Creach Bheinn, Appin",3.70,810.00,Central Highlands,Northwest Argyll and Appin,Glen Creran to Glen Etive,56.530519,-5.215038,132.6,3.35,There is a good sized area for parking just east of the bridge at Glengalmadale farm.,None nearby,No,3.3-4.5 hrs,09:48,
Meall a' Bhuachaille,3.92,810.00,Eastern Highlands,Cairngorms and North East Grampians,Lairig Ghru to Lairig an Laoigh,57.183558,-3.671107,132.6,3.07,"A bus runs from Aviemore to Glenmore or there is paid parking on the road at Glenmore, or in the Visitor Centre car park or across the road at the Beach car park.",None nearby,No,3.3-4.5 hrs,10:21,
Meall na Fearna,3.13,810.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Earn and Glen Artney,56.341253,-4.184333,67.1,2.59,"There is rough informal parking on the verges of the minor road along the south side of Loch Earn, mostly just west of the hump-backed bridge over the Ardvorlich burn.",None nearby,No,3.3-4.5 hrs,11:19,
Càrn na Saobhaidhe,2.50,811.10,Central Highlands,Monadh Liath to Glen Roy,Monadh Liath,57.198991,-4.320524,170.2,4.82,It is possible to park up to a couple of cars carefully near the bins at the B851 road junction at NH607244 (note the phone box shown on some maps no longer exists).,None nearby,No,3.3-4.5 hrs,06:51,
Beinn Each,3.72,811.20,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Earn and Glen Artney,56.313964,-4.262198,71.1,2.72,Park in the layby on the east side of the A84 immediately north of the bridge over the Ardchullerie Burn.,None nearby,No,3.3-4.5 hrs,11:03,
Askival,4.74,812.00,Western Highlands and Inner Hebrides,Inner Hebrides,Isle of Rum,56.974456,-6.291535,227.4,5.01,"Kinloch, Isle of Rum (ferry from Mallaig) (NM404995)",Kinloch village hall,No,3.3-4.5 hrs,06:28,
Sgòr Mòr,3.36,813.80,Eastern Highlands,Cairngorms and North East Grampians,Lairig Ghru to Lairig an Laoigh,57.003306,-3.635946,102.6,3.31,"A little over a kilometre further on, turn right onto a good clear footpath that leads back to the car park near the Linn of Dee.",None nearby,No,3.3-4.5 hrs,09:52,
"An Stac, Moidart",4.26,814.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Moidart,56.850995,-5.670144,170.0,3.74,"Traditionally the parking was by the info board on the right, but the local farmer objects to parking here or the larger parking near the cottages.",None nearby,No,3.3-4.5 hrs,09:01,
An Sìthean (An Sidhean),3.33,814.00,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Strathconon,57.461827,-5.050788,196.4,4.81,"Scardroy road end, Strathconon (NH257515)",None nearby,No,3.3-4.5 hrs,06:52,
Corserine,3.93,814.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.155077,-4.359129,100.7,4.46,"The track now passes a house at Burnhead, and returns to the car park at the start a short distance beyond.",None nearby,No,3.3-4.5 hrs,07:34,
Breabag,3.86,815.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,East Assynt and Glencoul,58.097397,-4.908546,230.9,5.21,"There is a hotel and car park a short distance to the left, but unless transport has been arranged, a return to the start is a 4km walk beside the main road.",None nearby,No,3.3-4.5 hrs,06:04,
"Càrn Dearg, north of Glean Eachach",2.47,816.50,Central Highlands,Monadh Liath to Glen Roy,Glen Roy,57.031139,-4.72043,163.8,4.36,The walk begins from a parking area near the end of the public road up Glen Roy; it is on the right hand side just before a bridge and cattle grid with a sign for the end of the public road.,None nearby,No,3.3-4.5 hrs,07:46,
Càrn a' Chuilinn,2.95,817.00,Central Highlands,Monadh Liath to Glen Roy,Glen Doe and Corrieyairack Pass,57.094285,-4.614835,165.1,4.21,Park in a layby on S side of B862 at NH396088; there is space for around 8 cars.,None nearby,No,3.3-4.5 hrs,08:04,
Stob Coire Creagach (Binnein an Fhidhleir),3.31,817.80,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Arrochar Alps,56.257706,-4.858018,95.6,2.14,Park in the large Butterbridge car park on the south side of the main road.,None nearby,No,3.3-4.5 hrs,12:13,
Beinn Dearg Bheag,4.33,817.90,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Fisherfield,57.776005,-5.331433,228.6,6.48,The walk starts where the track leaves the A832 on the west side of the bridge over the Gruinard River - there is limited verge parking just to the west.,None nearby,No,3.3-4.5 hrs,03:32,
Sgòrr na Dìollaid,3.78,817.90,Western Highlands and Inner Hebrides,Glen Strathfarrar to Glen Affric,North of Glen Cannich,57.384257,-4.860009,188.7,6.49,Parking in Glen Cannich is increasingly limited; probably the best spot is 150m before the bridge over the river Cannich.,None nearby,No,3.3-4.5 hrs,03:31,
"Beinn Chaorach, Tyndrum",2.89,818.00,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Above Bridge of Orchy,56.458905,-4.664943,89.2,2.86,"Start from the centre of Tyndrum, and begin by heading north along the road, passing the Green Welly Stop, then turning right immediately over the river to go through the car park of Brodie's Mini Mar",None nearby,No,3.3-4.5 hrs,10:46,
Càrn na Drochaide,3.26,818.00,Eastern Highlands,Cairngorms and North East Grampians,East of Lairig an Laoigh,57.02743,-3.439168,101.0,3.31,"There is a parking area (charge) on the left at the end of the public road towards the Linn of Quoich , 6km further along the road from the Linn of Dee.",None nearby,No,3.3-4.5 hrs,09:52,
"Geal Chàrn, Abernethy",2.96,820.60,Eastern Highlands,Cairngorms and North East Grampians,East of Lairig an Laoigh,57.196025,-3.506742,146.4,3.71,"At the very end of the public road is a large turning area with a no parking sign, but it should be possible to park carefully without obstructing the turning circle in any way.",None nearby,No,3.4-4.5 hrs,09:04,
Benvane,3.09,821.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Loch Voil to Strath Gartney,56.293302,-4.368448,64.9,2.02,Here there is limited parking for 5 or 6 cars.,None nearby,No,3.4-4.6 hrs,12:21,
White Coomb,3.60,821.60,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.42258,-3.323629,50.5,1.61,Grey Mare's Tail car park (NT186144),None nearby,No,3.4-4.6 hrs,13:10,
Geal-chàrn Mòr,3.20,824.10,Central Highlands,Monadh Liath to Glen Roy,Monadh Liath,57.186962,-3.926919,126.9,3.58,"Lynwilg is just off the main A9; follow the minor road as it turns right and crosses a bridge; there is room to park a couple of cars here, and more parking slightly further along the walk.",None nearby,No,3.4-4.6 hrs,09:14,
"Beinn Tarsuinn, Arran",4.46,826.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Isle of Arran,55.621484,-5.24212,184.9,5.82,"This also serves the campsite here and walks up popular Glen Rosa so it is often full, either get here early, use the bus and walk up the Glen Rosa road or park at the Cladach Centre and join the rout",None nearby,No,3.4-4.6 hrs,04:45,
An Dùn,3.58,827.40,Eastern Highlands,Gaick and Atholl,East of Drumochter and Gaick Forest,56.89481,-4.108642,92.4,2.93,"There is no parking at the start of the track up into the Gaick on the north side of the A9, so instead turn towards Trinafour on the opposite side of the road.",None nearby,No,3.4-4.6 hrs,10:32,
Brown Cow Hill,2.30,829.00,Eastern Highlands,Cairngorms and North East Grampians,River Don to River Gairn,57.124404,-3.28822,120.3,3.49,Take the track on the right that becomes a tarred road here; it leads past several more buildings and continues down the glen to emerge at the car park for Corgarff Castle.,None nearby,No,3.4-4.6 hrs,09:25,
"Beinn Dearg, Glen Lyon",2.93,830.00,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lyon east,56.61894,-4.268972,95.4,2.85,"Park in the car park on the west side of the Abhain Coire Mhic Nobuil, about three kilometres west of Torridon village.",None nearby,No,3.4-4.6 hrs,10:41,
"Càrn Mor, Morar",2.95,830.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,North Morar,56.962026,-5.450748,162.3,3.88,"To reach the parking area, take the minor road to Chapeltown and then turn left opposite the church onto a farm track with a car park.",None nearby,No,3.4-4.6 hrs,08:38,
Creag nan Gabhar,3.41,834.00,Eastern Highlands,Glenshee to Cairn o'Mount,Glen Shee,56.94053,-3.391011,88.5,2.09,There is a car park (charge) off the A93 on the south side of the bridge over the Callater Burn by Auchallater Farm The walk begins up the track.,None nearby,No,3.4-4.6 hrs,12:13,
"Càrn Dearg, east of Glen Roy",2.47,834.40,Central Highlands,Monadh Liath to Glen Roy,Glen Roy,56.959833,-4.723339,141.2,3.03,The walk begins from a parking area near the end of the public road up Glen Roy; it is on the right hand side just before a bridge and cattle grid with a sign for the end of the public road.,None nearby,No,3.4-4.7 hrs,10:14,
Sròn a' Choire Chnapanich,3.30,835.00,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lyon west,56.574191,-4.514871,104.3,3.09,"Roadside parking, upper Glen Lyon (NN510460)",None nearby,No,3.4-4.7 hrs,10:07,
Sgùrr Cos na Breachd-laoidh,3.65,835.00,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Kingie to Loch Arkaig,56.997579,-5.378766,158.4,3.42,The walk begins from the car park at the end of the roller-coaster minor road up Loch Arkaig.,None nearby,No,3.4-4.7 hrs,09:27,
Meall na h-Èilde,2.65,837.20,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Garry Forest,57.007056,-4.989609,165.5,4.42,Tomdoun roadside parking (NH156012),None nearby,No,3.5-4.7 hrs,07:27,
Sgùrr Gaorsaic,3.18,838.20,Western Highlands and Inner Hebrides,Glen Strathfarrar to Glen Affric,North of Glen Affric,57.245285,-5.256946,191.7,4.53,"Turn off the A87 at Morvich, and park at the National Trust for Scotland Morvich countryside centre, opposite Morvich Caravan Club site.",None nearby,No,3.5-4.7 hrs,07:14,
Meallan nan Uan,3.88,838.30,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Strathconon,57.546942,-4.903027,188.6,4.26,There is a rough grassy parking area up off the right hand side of the road opposite the last forestry cottage in the tiny hamlet of Strathanmore (around 1km before the church).,None nearby,No,3.5-4.7 hrs,07:46,
Càrn Chuinneag,4.00,839.00,Northern Highlands and Outer Hebrides,Loch Broom to Easter Ross,Easter Ross,57.813832,-4.554149,201.8,4.31,"There is a parking area amidst the magnificent Scots pine woods at the end of the public road leading towards Glen Calvie and Alladale, at NH464891.",None nearby,No,3.5-4.7 hrs,07:40,
Beinn Trilleachan,3.94,840.00,Central Highlands,Northwest Argyll and Appin,Glen Creran to Glen Etive,56.547996,-5.11445,120.8,2.84,There is a car park before a locked gate at the end of the public road down Glen Etive.,None nearby,No,3.5-4.7 hrs,10:37,
Broad Law,2.97,840.10,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.498133,-3.352726,48.5,2.03,Megget Stone layby (NT150202),None nearby,No,3.5-4.7 hrs,12:14,
Beinn Udlaidh,3.50,840.40,Central Highlands,Northwest Argyll and Appin,Glen Orchy,56.460079,-4.792575,98.0,2.57,Parking at Bridge of Orchy station (NN297395),None nearby,No,3.5-4.7 hrs,11:09,
Ben Rinnes,3.71,840.90,Eastern Highlands,Cairngorms and North East Grampians,Buchan and Moray,57.403298,-3.241492,141.2,3.79,The usual place to start the ascent is from the small parking area on a minor road which branches north from the B9009.,None nearby,No,3.5-4.7 hrs,08:43,
Sgùrr an Airgid,4.08,841.20,Western Highlands and Inner Hebrides,Glen Strathfarrar to Glen Affric,Strath Croe,57.248603,-5.415527,188.4,4.14,Park at the Clachan Duibh burial ground car park.,None nearby,No,3.5-4.7 hrs,08:01,
Beinn Mholach,3.25,841.80,Central Highlands,Glen Garry to Loch Rannoch,West of Drumochter,56.759541,-4.312102,101.9,4.15,"There is parking on the approach road to Dalnaspidal Lodge, just before the level crossing over the railway.",None nearby,No,3.5-4.7 hrs,08:00,
Ben Vrackie,4.07,842.20,Eastern Highlands,Gaick and Atholl,Glen Tilt to Glen Brerachan,56.748964,-3.71727,80.0,2.3,Start at the Ben Vrackie car park which is just NW of Moulin (it can easily be walked from Pitlochry).,None nearby,No,3.5-4.7 hrs,11:41,
Merrick,3.92,843.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.139266,-4.468428,127.6,4.47,"Park at the car park near the end of the public road up Glen Trool, and continue along the last 100m of road on foot.",None nearby,No,3.5-4.7 hrs,07:21,
Càrn Bàn,2.75,843.30,Northern Highlands and Outer Hebrides,Loch Broom to Easter Ross,Strath Mulzie and Freevater,57.846792,-4.801043,199.2,7.33,"There is a parking area amidst the magnificent Scots pine woods at the end of the public road leading towards Glen Calvie and Alladale, at NH464891.",None nearby,No,3.5-4.7 hrs,01:38,
Beinn Resipol,3.91,845.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Sunart,56.727211,-5.652629,150.0,3.78,The walk starts where a small road doubles back to the left (Heatherbank B&B sign) - there is some roadside parking near here but be careful not to block passing spaces.,None nearby,No,3.5-4.7 hrs,08:44,
Ben Donich,3.95,846.50,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Cowal and Ardgoil,56.197936,-4.873304,95.3,2.44,"From the summit of the Rest and Be Thankful pass, take the B828 towards Lochgoilhead; after a short distance a track on the left is signed for Ben Donich access; there is space to park a short distanc",None nearby,No,3.5-4.7 hrs,11:25,
Canisp,3.91,847.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,West Assynt and Glen Canisp,58.120936,-5.052849,233.2,5.06,From the south end of the layby a rough and sometimes wet path heads directly southwest to reach a footbridge over the outflow of Loch Awe.,None nearby,No,3.5-4.7 hrs,06:10,
Beinn nan Imirean,2.65,848.30,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lochay,56.444143,-4.565852,81.3,2.15,"There is parking for a couple of cars to park hard on the left near the start of the track taking care to leave plenty of space for farm vehicles to manoeuvre, or alternatively on the grass verge of t",None nearby,No,3.5-4.8 hrs,11:54,
Bac an Eich,3.80,849.00,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Strathconon,57.495784,-4.968303,195.8,5.22,"There is a parking area at the end of the public road up Strathconon, on the north shore of Loch Beannacharain.",None nearby,No,3.5-4.8 hrs,05:45,
Sgùrr Ghiubhsachain,4.39,849.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.818974,-5.482572,150.6,4.95,"Begin the walk by turning left out of the car park, heading along the track (signed Ardgour, 18 miles) towards the small hydro-power station and cottages at Callop.",None nearby,No,3.5-4.8 hrs,06:18,
Cùl Mòr,4.44,849.70,Northern Highlands and Outer Hebrides,Coigach and Assynt,Coigach and Inverpolly,58.058148,-5.116766,223.8,4.83,From the layby go through the gate and follow the well made stalkers' path.,None nearby,No,3.5-4.8 hrs,06:32,
Meall an t-Seallaidh,3.39,852.70,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Glen Dochart to Loch Voil,56.380418,-4.362612,66.1,1.58,Park in the large car park on the A85 near the west end of Loch Earn in Lochearnhead.,None nearby,No,3.5-4.8 hrs,13:02,
"Creach Bheinn, Glen Galmadale",3.70,853.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Morvern,56.661994,-5.476227,138.0,3.35,There is a good sized area for parking just east of the bridge at Glengalmadale farm.,None nearby,No,3.5-4.8 hrs,09:30,
"Beinn an Eòin, Torridon",4.29,855.00,Northern Highlands and Outer Hebrides,Applecross," Coulin and Torridon, Flowerdale",57.62286,-5.509778,223.3,5.43,Park in the small car park beside the green barn a few hundred metres east of Loch Bad an Sgalag.,None nearby,No,3.5-4.8 hrs,05:20,
"Beinn Bhuidhe, Knoydart",4.40,855.40,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Knoydart,57.010127,-5.589157,184.9,4.07,Inverie (ferry from Mallaig) or Kinloch Hourn road end (NG950067),Inverie village,No,3.6-4.8 hrs,08:03,
Stob an Aonaich Mhòir,3.56,855.60,Central Highlands,Glen Garry to Loch Rannoch,West of Drumochter,56.793317,-4.396093,113.1,3.46,There is limited parking where the private road leaves the B846 just east of the Bridge of Ericht - take care to park considerately and ensure no entrances are restricted.,None nearby,No,3.6-4.8 hrs,09:16,
Beinn a' Chàisgein Mòr,3.70,856.00,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Fisherfield,57.751185,-5.392096,228.6,6.48,Turn down the minor road from the north side of the bridge in Poolewe; there is then a small car park on the left.,None nearby,No,3.6-4.8 hrs,03:14,
Beinn a' Chrùlaiste,3.70,857.00,Central Highlands,Northwest Argyll and Appin,North of Glen Coe,56.668922,-4.863535,108.4,2.5,Park at Altnafeidh; there is a layby on the north side of the road and rougher parking on the south side.,None nearby,No,3.6-4.8 hrs,11:11,
Cruach Innse,3.29,857.00,Central Highlands,Loch Linnhie to Loch Ericht,Easains and Innses,56.846844,-4.821944,141.7,3.62,There is parking on the left (where the road meets the line of an old tramway) at NN255788.,None nearby,No,3.6-4.8 hrs,08:57,
Fraoch Bheinn,3.61,857.30,Western Highlands and Inner Hebrides,Knoydart and the Rough Bounds,Glen Kingie to Loch Arkaig,56.993481,-5.31693,158.2,3.41,There is a car park at the end of the roller-coaster road along the north side of Loch Arkaig.,None nearby,No,3.6-4.8 hrs,09:22,
Càrn Dearg Mòr,3.17,857.40,Eastern Highlands,Gaick and Atholl,Glen Tromie to Glen Feshie,56.996817,-3.938644,133.8,4.83,"From here turn left and head back to the start by reversing the outward route, remembering to cross the bridge back over the Feshie to return via Achlean to the car park.",None nearby,No,3.6-4.8 hrs,06:32,
Beinn Làir,4.45,859.00,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Letterewe,57.703854,-5.389226,212.7,4.6,Turn down the minor road from the north side of the bridge in Poolewe; there is then a small car park on the left.,None nearby,No,3.6-4.8 hrs,07:00,
Caisteal Abhail,4.63,859.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Isle of Arran,55.649862,-5.22933,166.5,5.27,The walk begins from the car park beside the bridge over the North Sannox Burn.,None nearby,No,3.6-4.8 hrs,05:39,
Morrone,3.17,859.50,Eastern Highlands,Glen Ey to Glen Lochsie,Glen Ey,56.980803,-3.429585,93.7,3.06,"If it is difficult to find parking, there is parking at the top of Chapel Brae from where you can join the walk.",None nearby,No,3.6-4.8 hrs,10:04,
Beinn Luibhean,3.12,859.70,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Arrochar Alps,56.231248,-4.836359,93.6,2.1,"Begin the walk by heading through the gate (often locked) at the back of the parking area, and crossing the metal bridge over the burn.",None nearby,No,3.6-4.8 hrs,12:00,
"Beinn Tharsuinn, Monar",3.72,861.20,Western Highlands and Inner Hebrides,Glen Carron to Glen Strathfarrar,Attadale and Monar,57.438688,-5.241959,207.6,4.93,There is a signed forestry car park off the north side of the road at Craig.,"Whether staying here, camping nearby or just popping in, please repay the estate's generosity by carrying out all your rubbish and keeping the place tidy; flush the toilet by filling the cistern using the bucket in the stream outside.",No,3.6-4.8 hrs,06:20,
"Cam Chreag, Glen Lyon",2.89,861.70,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lyon west,56.611095,-4.385643,96.8,2.93,Park at the Meggernie Estate car park (toilets) at Innerwick in Glen Lyon.,None nearby,No,3.6-4.9 hrs,10:14,
